datetime1,datetime,open,high,low,close,volume,close_time,quote_time,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,1/1/2023 0:00:00,70.14,70.24,69.91,70,2717.719,1672531499999,190505.3292,394,908.425,63659.63266,0
1672531500000,1/1/2023 0:05:00,70.01,70.1,69.89,69.9,538.726,1672531799999,37711.80371,151,184.195,12897.74667,0
1672531800000,1/1/2023 0:10:00,69.9,69.97,69.81,69.81,2498.831,1672532099999,174631.7965,351,1005.905,70298.32903,0
1672532100000,1/1/2023 0:15:00,69.81,70.07,69.72,70.04,4620.941,1672532399999,323080.4626,538,2964.392,207265.7344,0
1672532400000,1/1/2023 0:20:00,70.05,70.11,69.97,69.97,2333.774,1672532699999,163473.9211,243,1316.079,92203.29453,0
1672532700000,1/1/2023 0:25:00,69.97,70.02,69.91,69.92,1662.847,1672532999999,116325.5342,185,1120.55,78380.83421,0
1672533000000,1/1/2023 0:30:00,69.92,69.92,69.75,69.8,2305.164,1672533299999,160956.2956,260,812.428,56742.51155,0
1672533300000,1/1/2023 0:35:00,69.79,69.79,69.45,69.51,8080.47,1672533599999,562300.8925,924,1320.54,91856.04239,0
1672533600000,1/1/2023 0:40:00,69.5,69.55,69.14,69.22,12078.988,1672533899999,837268.8402,1035,1617.368,112086.6224,0
1672533900000,1/1/2023 0:45:00,69.22,69.45,69.2,69.31,3796.789,1672534199999,263275.7525,449,2767.43,191869.6954,0
1672534200000,1/1/2023 0:50:00,69.32,69.41,69.24,69.38,791.122,1672534499999,54861.24274,186,397.605,27573.98027,0
1672534500000,1/1/2023 0:55:00,69.37,69.47,69.31,69.31,640.701,1672534799999,44466.20486,169,285.02,19781.31999,0
1672534800000,1/1/2023 1:00:00,69.31,69.39,69.23,69.34,3464.958,1672535099999,240113.7966,337,1509.059,104616.0444,0
1672535100000,1/1/2023 1:05:00,69.32,69.5,69.32,69.48,1460.491,1672535399999,101344.3657,223,1068.365,74135.47638,0
1672535400000,1/1/2023 1:10:00,69.48,69.53,69.44,69.45,1290.54,1672535699999,89666.24009,179,534.801,37154.2547,0
1672535700000,1/1/2023 1:15:00,69.45,69.49,69.37,69.43,633.99,1672535999999,43993.68575,115,461.467,32021.85229,0
1672536000000,1/1/2023 1:20:00,69.44,69.46,69.35,69.43,1582.363,1672536299999,109833.7751,184,711.896,49408.49066,0
1672536300000,1/1/2023 1:25:00,69.43,69.45,69.36,69.37,1211.348,1672536599999,84084.39545,146,870.79,60451.14117,0
1672536600000,1/1/2023 1:30:00,69.37,69.38,69.28,69.3,713.346,1672536899999,49448.17881,156,116.023,8042.82752,0
1672536900000,1/1/2023 1:35:00,69.3,69.33,69.19,69.21,912.652,1672537199999,63209.72244,195,287.713,19929.42681,0
1672537200000,1/1/2023 1:40:00,69.19,69.39,69.18,69.37,1558.012,1672537499999,107909.7607,224,907.471,62869.22469,0
1672537500000,1/1/2023 1:45:00,69.37,69.47,69.36,69.47,852.416,1672537799999,59158.62658,155,607.619,42174.77029,0
1672537800000,1/1/2023 1:50:00,69.48,69.51,69.44,69.51,710.799,1672538099999,49385.06784,135,511.639,35550.30351,0
1672538100000,1/1/2023 1:55:00,69.51,69.61,69.48,69.51,3029.185,1672538399999,210703.744,363,1101.881,76651.19804,0
1672538400000,1/1/2023 2:00:00,69.49,69.5,69.38,69.38,891.048,1672538699999,61872.52536,156,433.781,30129.41782,0
1672538700000,1/1/2023 2:05:00,69.38,69.39,69.31,69.36,982.631,1672538999999,68145.39037,129,234.231,16244.82108,0
1672539000000,1/1/2023 2:10:00,69.36,69.44,69.32,69.43,1262.764,1672539299999,87588.81103,192,635.919,44108.27309,0
1672539300000,1/1/2023 2:15:00,69.45,69.49,69.44,69.48,469.734,1672539599999,32634.31836,111,305.195,21203.65544,0
1672539600000,1/1/2023 2:20:00,69.49,69.56,69.46,69.56,1504.695,1672539899999,104616.7194,235,1329.537,92441.79587,0
1672539900000,1/1/2023 2:25:00,69.56,69.66,69.55,69.65,1493.878,1672540199999,103992.5074,213,1140.899,79419.8,0
1672540200000,1/1/2023 2:30:00,69.66,69.85,69.63,69.85,1375.22,1672540499999,95894.51507,342,1071.555,74719.68796,0
1672540500000,1/1/2023 2:35:00,69.84,69.84,69.72,69.74,894.775,1672540799999,62409.82695,140,613.559,42792.39381,0
1672540800000,1/1/2023 2:40:00,69.74,69.74,69.65,69.66,772.426,1672541099999,53824.39154,140,169.36,11799.88979,0
1672541100000,1/1/2023 2:45:00,69.66,69.73,69.64,69.73,574.065,1672541399999,40011.25075,120,238.465,16619.36353,0
